Date,Close,High,Low,Open,Volume,Date_num,H-L,O-C,SMA_7,SMA_17,SMA_30,SD_7,SD_30
2024-07-06,58303.5390625,58472.546875,56038.9609375,56659.07421875,20610320577,739073,2433.5859375,-1644.46484375,59953.83258928572,61278.865119485294,63910.38125,2664.3097226964155,3695.735551089287
2024-07-07,55849.109375,58371.12109375,55793.32421875,58239.4296875,20553359505,739074,2577.796875,2390.3203125,58978.23493303572,60750.65647977941,63460.59869791667,2749.388131602807,3830.4654565235423
2024-07-08,56705.09765625,58131.3359375,54321.01953125,55849.57421875,39766159899,739075,3810.31640625,-855.5234375,58100.10881696428,60315.88579963235,63040.576171875,2240.473196401087,3858.1738654768424
2024-07-09,58009.2265625,58239.1953125,56316.875,56704.59765625,27849512607,739076,1922.3203125,-1304.62890625,57525.853236607145,59948.62982536765,62652.61731770833,1436.5401398092092,3754.633147163731
2024-07-10,57742.49609375,59359.43359375,57178.4140625,58033.8828125,26175260526,739077,2181.01953125,291.38671875,57178.50669642857,59628.72977941176,62260.29114583333,872.9265643790407,3625.8532334233882
2024-07-11,57344.9140625,59299.43359375,57120.37890625,57729.890625,28707803842,739078,2179.0546875,384.9765625,57230.96540178572,59456.22977941176,61927.38723958333,869.8764900453472,3602.5430304579304
2024-07-12,57899.46484375,58532.5546875,56590.17578125,57341.1953125,25604805221,739079,1942.37890625,-558.26953125,57407.69252232143,59226.513556985294,61582.66315104167,860.724479781946,3469.9012034257134
2024-07-13,59231.953125,59787.078125,57796.44140625,57908.73828125,17080061806,739080,1990.63671875,-1323.21484375,57540.32310267857,59133.612132352944,61331.848307291664,1068.279723635897,3353.0082978668265
2024-07-14,60787.79296875,61329.52734375,59225.25,59225.25,22223416061,739081,2104.27734375,-1562.54296875,58245.849330357145,59085.552849264706,61157.73828125,1357.0074465741611,3235.197078602744
2024-07-15,64870.15234375,64870.15234375,60704.9296875,60815.45703125,38094526099,739082,4165.22265625,-4054.6953125,59412.28571428572,59353.20082720588,61113.71002604167,2678.067496288482,3172.7212512665064
2024-07-16,65097.1484375,65354.33984375,62487.96875,64784.41796875,41617346768,739083,2866.37109375,-312.73046875,60424.845982142855,59600.83432904412,61062.31341145833,3321.7569200184307,3091.578270814569
2024-07-17,64118.79296875,66066.734375,63896.0859375,65091.83203125,32525071311,739084,2170.6484375,973.0390625,61335.74553571428,59685.56962316176,60983.26328125,3337.8259304864914,2976.166389975028
2024-07-18,63974.06640625,65104.66015625,63246.1640625,64104.73828125,27239305337,739085,1858.49609375,130.671875,62282.767299107145,59751.574678308825,60944.37395833333,2932.647872921226,2927.18703181094
2024-07-19,66710.15625,67442.640625,63329.34375,63972.32421875,37003855410,739086,4113.296875,-2737.83203125,63541.4375,60026.93589154412,61002.70260416667,2610.913603330403,3025.744908518869
2024-07-20,67163.6484375,67610.734375,66299.6171875,66709.921875,19029581250,739087,1311.1171875,-453.7265625,64674.536830357145,60438.09627757353,61080.53567708333,2100.102256023065,3154.834428878192
2024-07-21,68154.5234375,68372.90625,65842.296875,67164.9140625,26652190004,739088,2530.609375,-989.609375,65726.92689732143,61095.55629595588,61215.813151041664,1618.3032206272856,3368.3849825254747
2024-07-22,67585.25,68480.0625,66611.296875,68152.9765625,42649109453,739089,1868.765625,567.7265625,66114.79799107143,61738.07835477941,61326.90221354167,1701.9413476032494,3523.3803576531504
2024-07-23,65927.671875,67779.015625,65484.4609375,67584.8046875,35605668666,739090,2294.5546875,1657.1328125,66233.44419642857,62186.556755514706,61418.46471354167,1647.2448319948098,3607.8970401434945
2024-07-24,65372.1328125,67113.984375,65146.99609375,65927.859375,27470942309,739091,1966.98828125,555.7265625,66412.49274553571,62746.73460477941,61588.288671875,1433.3057375639512,3671.676306350095
2024-07-25,65777.2265625,66112.421875,63473.47265625,65375.875,38315761670,739092,2638.94921875,-401.3515625,66670.08705357143,63280.38924632353,61720.708203125,1026.2673743930814,3750.537177966535
2024-07-26,67912.0625,68207.6015625,65743.765625,65771.8125,30488630457,739093,2463.8359375,-2140.25,66841.78794642857,63862.909007352944,61957.401041666664,1129.4451023426916,3911.7614125948153
2024-07-27,67813.3359375,69398.5078125,66705.21875,67911.8125,34691905492,739094,2693.2890625,98.4765625,66934.60044642857,64455.311351102944,62164.352213541664,1185.6003849937342,4054.10488465315
2024-07-28,68255.8671875,68301.8515625,67085.828125,67808.65625,18043166945,739095,1216.0234375,-447.2109375,66949.078125,65097.13212316176,62428.8765625,1203.46417423916,4186.3631488534265
2024-07-29,66819.9140625,69987.5390625,66532.59375,68259.0546875,40780682628,739096,3454.9453125,1439.140625,66839.74441964286,65621.86443014706,62626.627734375,1170.3452338714387,4250.660336250832
2024-07-30,66201.015625,66987.671875,65323.19140625,66819.0546875,31380492109,739097,1664.48046875,618.0390625,66878.79352678571,66031.80928308824,62744.05182291667,1138.9814247612915,4300.502025747184
2024-07-31,64619.25,66810.2109375,64532.046875,66201.2734375,31292785994,739098,2278.1640625,1582.0234375,66771.23883928571,66257.18910845589,62802.96080729167,1325.2802522204095,4314.114062117169
2024-08-01,65357.5,65593.2421875,62248.94140625,64625.83984375,40975554494,739099,3344.30078125,-731.66015625,66711.27790178571,66285.85661764706,62913.91028645833,1385.8593232284575,4336.267304005496
2024-08-02,61415.06640625,65523.22265625,61184.89453125,65353.5,43060875727,739100,4338.328125,3938.43359375,65783.13560267857,66069.2635569853,62955.28177083333,2313.0597356844855,4315.093231551862
2024-08-03,60680.09375,62148.37109375,59836.52734375,61414.80859375,31753030589,739101,2311.84375,734.71484375,64764.10100446428,65866.98713235294,63078.69479166667,2791.408670941523,4189.350081947287
2024-08-04,58116.9765625,61062.98828125,57210.8046875,60676.09375,31758917219,739102,3852.18359375,2559.1171875,63315.68805803572,65522.45243566176,63127.18151041667,3267.4736937359794,4120.3779891224485
2024-08-05,53991.45703125,58268.828125,49121.23828125,58110.296875,108991085584,739103,9147.58984375,4118.83984375,61483.05133928572,64774.29365808824,62983.44544270833,4381.972329626526,4362.544583323976
2024-08-06,56034.31640625,57059.91796875,53973.2734375,53991.34765625,49300484106,739104,3086.64453125,-2042.96875,60030.665736607145,64119.627068014706,62989.61901041667,4240.158149228402,4352.219258918724
2024-08-07,55027.4609375,57726.8828125,54620.5078125,56040.6328125,41637562185,739105,3106.375,1013.171875,58660.41015625,63347.44692095588,62933.69778645833,4056.0119373152293,4445.53049036373
2024-08-08,61710.13671875,62673.765625,54766.7265625,55030.02734375,45298472567,739106,7907.0390625,-6680.109375,58139.35825892857,63001.852022058825,63057.06145833333,3195.22433189244,4354.583894237068
2024-08-09,60880.11328125,61751.86328125,59587.859375,61728.20703125,33425553115,739107,2164.00390625,848.09375,58062.93638392857,62704.93681066176,63161.648697916666,3109.0551429603042,4259.172533758191
2024-08-10,60945.8125,61464.51171875,60287.56640625,60881.23046875,15745822278,739108,1176.9453125,-64.58203125,58100.896205357145,62444.56502757353,63281.67864583333,3147.7165977191685,4138.629133697995
2024-08-11,58719.484375,61778.66015625,58348.82421875,60944.890625,22759754812,739109,3429.8359375,2225.40625,58186.96875,62029.40372242647,63309.01263020833,3156.455080267724,4104.422588795192
2024-08-12,59354.515625,60680.33203125,57688.8984375,58719.39453125,37078637820,739110,2991.43359375,-635.12109375,58953.11997767857,61526.01861213235,63313.098046875,2563.5647459454826,4100.283381591327
2024-08-13,60609.56640625,61572.3984375,58506.25390625,59356.20703125,30327698167,739111,3066.14453125,-1253.359375,59606.72712053572,61102.267463235294,63307.15716145833,2260.721479296397,4104.19570533046
2024-08-14,58737.26953125,61687.7578125,58472.875,60611.05078125,29961696180,739112,3214.8828125,1873.78125,60136.69977678572,60542.34995404412,63102.727734375,1189.2119415517368,4175.773422208536
2024-08-15,57560.09765625,59838.6484375,56161.59375,58733.26171875,35682112440,739113,3677.0546875,1173.1640625,59543.83705357143,59997.65487132353,62851.49270833333,1303.0810584116687,4277.144106912729
2024-08-16,58894.10546875,59847.359375,57110.01953125,57560.2734375,29350938673,739114,2737.33984375,-1333.83203125,59260.12165178572,59567.83662683824,62677.33645833333,1173.3980171515057,4329.807837812894
2024-08-17,59478.97265625,59694.66796875,58814.83203125,58893.53125,13589684021,739115,879.8359375,-585.44140625,59050.57310267857,59265.46737132353,62527.5,927.3749156716426,4361.051498420796
2024-08-18,58483.96484375,60262.71875,58445.40234375,59468.1328125,17740625837,739116,1817.31640625,984.16796875,59016.927455357145,58861.141773897056,62253.293619791664,945.4845646286741,4347.588408294747
2024-08-19,59493.453125,59612.66015625,57864.7109375,58480.7109375,25911207712,739117,1747.94921875,-1012.7421875,59036.775669642855,58748.10569852941,61997.620442708336,955.1613870597876,4273.770426065823
2024-08-20,59012.79296875,61396.328125,58610.8828125,59493.453125,31613400008,739118,2785.4453125,480.66015625,58808.66517857143,58650.029181985294,61692.89609375,662.9056428339975,4143.563053964921
2024-08-21,61175.19140625,61834.3515625,58823.4453125,59014.98828125,32731154072,739119,3010.90625,-2160.203125,59156.939732142855,58829.92417279412,61479.22747395833,1109.275006703568,3991.728015308483
2024-08-22,60381.9140625,61408.109375,59815.25390625,61168.31640625,27625734377,739120,1592.85546875,786.40234375,59560.056361607145,59205.83340992647,61294.368880208334,930.5986083359245,3906.1099002895885
2024-08-23,64094.35546875,64947.0625,60372.05078125,60380.953125,42530509233,739121,4575.01171875,-3713.40234375,60302.94921875,59679.95335477941,61251.77630208333,1890.7331840674149,3866.881860720216
